TITULO,RATING,ESTUDIO,DURACION,DIRECTOR,GENERO,LOCALIDAD,IMAGEN
Paddington 2,100,Warner Bros. Pictures,105,Paul King (VII),[Animation Comedy Kids   Family],N/A,https://www.wildaboutmovies.com/wp-content/uploads/paddington_two_ver2-150x210.jpg
Leave No Trace,100,Bleecker Street,109,Debra Granik,[Drama],N/A,https://www.wildaboutmovies.com/wp-content/uploads/leave_no_trace-150x210.jpg
Summer 1993 (Estiu 1993),100,Oscilloscope Laboratories,96,Carla Sim�n,[Art House   International Drama],N/A,https://png.pngtree.com/element_origin_min_pic/16/12/23/5550bb8f0634d44a1c26292adc4e2e6c.jpg
Minding the Gap,100,Hulu,93,Bing Liu,[Documentary],N/A,https://www.wildaboutmovies.com/wp-content/uploads/MV5BMTA0MDk4MzMwOTBeQTJeQWpwZ15BbWU4MDE3MzYxOTUz._V1_SY1000_CR006751000_AL_-150x210.jpg
Shirkers,100,Netflix,96,Sandi Tan,[Documentary],N/A,https://www.wildaboutmovies.com/wp-content/uploads/SHIRKERS_Vertical_RGB-150x210.jpg
Pick of the Litter,100,Sundance Selects,81,Dana NachmanDon Hardy Jr.,[Documentary],N/A,https://www.wildaboutmovies.com/wp-content/uploads/Pick-of-the-Litter-150x210.jpg
Oh Lucy!,100,Film Movement,96,Atsuko Hirayanagi,[Comedy Drama],N/A,https://png.pngtree.com/element_origin_min_pic/16/12/23/5550bb8f0634d44a1c26292adc4e2e6c.jpg
Hannah Gadsby: Nanette,100,Netflix,69,Madeleine ParryJon Olb,[Comedy],N/A,https://png.pngtree.com/element_origin_min_pic/16/12/23/5550bb8f0634d44a1c26292adc4e2e6c.jpg
Night Comes On,100,Samuel Goldwyn Films,87,Jordana Spiro,[Drama],N/A,https://www.wildaboutmovies.com/wp-content/uploads/Night-Comes-On-movie-poster-150x210.jpg
Eighth Grade,99,A24,94,Bo Burnham,[Comedy],N/A,https://www.wildaboutmovies.com/wp-content/uploads/unnamed-119-150x210.jpg
Shoplifters (Manbiki kazoku),99,Magnolia Pictures,121,Hirokazu Koreeda,[Art House   International Drama],N/A,https://png.pngtree.com/element_origin_min_pic/16/12/23/5550bb8f0634d44a1c26292adc4e2e6c.jpg
McQueen,99,Bleecker Street,111,Ian Bonh�te,[Documentary],N/A,https://www.wildaboutmovies.com/wp-content/uploads/McQueen-movie-poster-150x210.jpg
The Guilty (Den skyldige),99,Magnolia Pictures,85,Gustav M�ller,[Drama Mystery   Suspense],N/A,https://png.pngtree.com/element_origin_min_pic/16/12/23/5550bb8f0634d44a1c26292adc4e2e6c.jpg
Tea With the Dames (Nothing Like a Dame),99,94 minutes,N/A,Roger Michell,[Documentary],N/A,https://png.pngtree.com/element_origin_min_pic/16/12/23/5550bb8f0634d44a1c26292adc4e2e6c.jpg
The Tale,99,HBO Films,114,Jennifer Fox,[Drama],N/A,https://png.pngtree.com/element_origin_min_pic/16/12/23/5550bb8f0634d44a1c26292adc4e2e6c.jpg
Won't You Be My Neighbor?,98,Focus Features,94,Morgan Neville,[Documentary],N/A,https://png.pngtree.com/element_origin_min_pic/16/12/23/5550bb8f0634d44a1c26292adc4e2e6c.jpg
Can You Ever Forgive Me?,98,Fox Searchlight Pictures,107,Marielle Heller,[Comedy Drama],N/A,https://png.pngtree.com/element_origin_min_pic/16/12/23/5550bb8f0634d44a1c26292adc4e2e6c.jpg
